35.000000 0.018330 0.000008 1120.000000 42.100000 6.510000
37.500000 0.017340 0.000008 1260.000000 46.560000 7.210000
40.000000 0.016460 0.000007 1400.000000 51.080000 7.950000
45.000000 0.014960 0.000006 1720.000000 68.170000 9.550000
50.000000 0.013730 0.000006 2070.000000 84.200000 11.300000
55.000000 0.012700 0.000005 2450.000000 99.840000 13.200000
60.000000 0.011830 0.000005 2860.000000 115.370000 15.250000
65.000000 0.011080 0.000005 3290.000000 130.940000 17.440000
70.000000 0.010420 0.000004 3760.000000 146.630000 19.770000
80.000000 0.009329 0.000004 4770.000000 205.310000 24.850000
90.000000 0.008460 0.000003 5900.000000 259.980000 30.460000
100.000000 0.007750 0.000003 7140.000000 313.380000 36.600000
110.000000 0.007158 0.000003 8480.000000 366.610000 43.240000
120.000000 0.006657 0.000003 9930.000000 420.180000 50.400000
130.000000 0.006226 0.000002 11480.000000 474.350000 58.050000
140.000000 0.005852 0.000002 13140.000000 529.290000 66.190000
150.000000 0.005524 0.000002 14900.000000 585.060000 74.810000
160.000000 0.005233 0.000002 16760.000000 641.730000 83.910000
170.000000 0.004974 0.000002 18710.000000 699.310000 93.480000
180.000000 0.004742 0.000002 20770.000000 757.800000 103.510000
200.000000 0.004342 0.000002 25180.000000 981.940000 124.960000
225.000000 0.003934 0.000001 31230.000000 1300.000000 154.300000
250.000000 0.003603 0.000001 37870.000000 1610.000000 186.380000
275.000000 0.003327 0.000001 45090.000000 1910.000000 221.140000
300.000000 0.003095 0.000001 52880.000000 2200.000000 258.520000
325.000000 0.002896 0.000001 61240.000000 2500.000000 298.470000
350.000000 0.002723 0.000001 70140.000000 2800.000000 340.940000
375.000000 0.002572 0.000001 79580.000000 3100.000000 385.880000
400.000000 0.002439 0.000001 89570.000000 3410.000000 433.260000
450.000000 0.002213 0.000001 111090.000000 4570.000000 535.160000
500.000000 0.002031 0.000001 134680.000000 5660.000000 646.320000
550.000000 0.001879 0.000001 160270.000000 6730.000000 766.440000
600.000000 0.001752 0.000001 187840.000000 7780.000000 895.240000
650.000000 0.001642 0.000001 217320.000000 8830.000000 1030.000000
700.000000 0.001548 0.000001 248680.000000 9880.000000 1180.000000
800.000000 0.001393 0.000000 316800.000000 13810.000000 1490.000000
900.000000 0.001270 0.000000 392000.000000 17440.000000 1840.000000
1000.000000 0.001171 0.000000 474010.000000 20950.000000 2210.000000
